"number" "anime_name_english" "anime_name_japanese" "rating" "favorite_count" "user_count" "airing_start" "year" "month" "day" "airing_end" "popularity_rank" "rating_rank" "age_rating" "age_rating_Guide" "total_episode" "total_length" "Genres" "Categories"
44164 "nanatsu-no-taizai-movie-2-hikari-ni-norowareshi-mono-tachi" "劇場版 七つの大罪 光に呪われし者たち" 76.45 0 0 "2021-07-02" 2021 7 2 "2021-07-02" 18352 1380 "PG" "Teens 13 or older" 1 NA "" "Action/Adventure/Shounen/Fantasy/Fantasy World/Magic"
43271 "ijiranaide-nagatoro-san" "いじらないで、長瀞さん" 76.39 1 798 "2021-04-11" 2021 4 11 "2021-06-27" 5221 1401 "PG" "13 and older" 12 NA "" "Comedy/School Life/Slice of Life"
44501 "sonny-boy" "ソニーボーイ" 76.32 0 0 "2021-06-19" 2021 6 19 "2021-10-01" 18426 1419 "PG" NA 12 288 "" "Super Power/Isekai/Science Fiction"
43817 "taishou-otome-otogibanashi" "大正処女御伽話" 76.26 0 32 "2021-10-08" 2021 10 8 NA 14517 1432 "PG" NA 12 0 "" "Slice of Life/Historical/Comedy/Romance"
43862 "platinum-end" "プラチナエンド" 76.11 0 68 "2021-10-07" 2021 10 7 "2022-03-17" 11959 1475 "PG" NA 24 0 "" "Drama/Supernatural/Psychological/Shounen"
44185 "mieruko-chan" "見える子ちゃん" 75.96 0 0 "2021-10-03" 2021 10 3 NA 18601 1524 "R" NA 12 0 "" "Supernatural/Horror/Comedy/Ghost/Ecchi/School Life/High School/Japan"
43456 "fena-pirate-princess" "海賊王女" 75.95 0 73 "2021-08-14" 2021 8 14 "2021-10-24" 11758 1529 "R" NA 12 NA "" "Shipboard/Alternative Past/Historical/Island/Pirate/Action/Adventure/Shoujo"
42858 "love-death-robots-volume-two" NA 75.91 1 31 "2021-05-14" 2021 5 14 "2021-05-14" 14591 1548 "R" NA 8 0 "" "Science Fiction/Fantasy/Anime Influenced/Robot/Robot Helper/Comedy/Action/Cyberpunk/Other Planet/Cops"
42202 "hataraku-saibou-2" "はたらく細胞!!" 75.88 3 3986 "2021-01-09" 2021 1 9 "2021-02-27" 2359 1555 "PG" "Teens 13 or older" 8 NA "" "Comedy/Shounen/Violence"
44276 "tenchi-souzou-design-bu-tokubetsu-hen" "天地創造デザイン部特別編" 75.83 0 0 "2021-04-01" 2021 4 1 "2021-04-01" 17917 1575 "PG" "Teens 13 or older" 1 0 "" "Comedy/Deity/Fantasy/Working Life/Slice of Life"
